stateabbr,statedesc,countyname,countyfips,totalpopulation,obesity_crudeprev,lpa_crudeprev,csmoking_crudeprev,depression_crudeprev,bphigh_crudeprev,access2_crudeprev
TX,Texas,Waller,48473,63553,36.6,26.9,12.2,21.6,31.2,17.6
TX,Texas,Glasscock,48173,1141,34,23.3,10.8,21.2,32.4,15.4
TX,Texas,Tarrant,48439,2182947,33.2,27.7,12.7,22.7,31.4,16.8
TX,Texas,Harrison,48203,70895,38.8,29.5,15.2,23.5,38.6,14.4
TX,Texas,Motley,48345,1020,35.2,28.8,14.4,22.4,41.8,15.1
TX,Texas,Kimble,48267,4442,36.8,31.5,14.8,22.5,43.8,16.9
TX,Texas,Jack,48237,8875,37.8,30.4,17.5,24,37.5,18
TX,Texas,Young,48503,18124,37.1,28.4,14.5,23.4,38.1,15.2
TX,Texas,Eastland,48133,18037,35.5,29.8,15.6,24.1,38.7,15.9
TX,Texas,Parker,48367,173494,35.5,23.4,12.9,24,34,12.1
TX,Texas,Ellis,48139,222829,37.2,25.8,12.6,22.6,34.2,15.6
TX,Texas,Callahan,48059,14374,36.2,26.5,14.7,23.9,38.5,12.5
TX,Texas,Austin,48015,31677,37.3,30.1,14.6,22.1,39.5,17.2
TX,Texas,Galveston,48167,361744,34,25.4,12.3,21.7,35.7,15
TX,Texas,Wharton,48481,41739,40,32.1,14.2,21.5,38.1,21.3
TX,Texas,Andrews,48003,18664,36.7,31.1,14.5,22.1,31.9,25.9
TX,Texas,Jim Hogg,48247,4720,44.7,47.7,17.2,19.7,41.6,40.6
TX,Texas,Crane,48103,4574,39.7,36,14.3,20.4,34.3,30.5
TX,Texas,Madison,48313,13742,37.1,31.5,16.2,22,36.1,21.3
TX,Texas,Sterling,48431,1397,33.2,23.8,11.2,21.4,31.1,15.6
TX,Texas,Refugio,48391,6666,39.7,35.9,15,21,40.8,24.3
TX,Texas,Hardeman,48197,3490,37.6,31.2,15.8,23.1,40.5,17.5
TX,Texas,Dickens,48125,1711,37.5,32.5,15.1,21.9,43,18.7
TX,Texas,Mason,48319,3931,33.5,26.8,11.5,20.9,41.2,14.4
TX,Texas,Bandera,48019,22637,35.5,29.7,13.9,22.7,42.6,14.1
TX,Texas,Franklin,48159,10735,35.3,25.5,13.1,22.9,38.4,12.5
TX,Texas,Somervell,48425,9888,34.3,25.7,13.4,23.1,36.6,13.4
TX,Texas,Willacy,48489,20037,43.2,44.1,16.4,19.5,36.5,40.8
